Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
67b4ae70d9b5bf74054659ab16ee9d61a6fba31efe03060bcd156070d2f6b67e,2017-02,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
bb89e1f8f400a2655ca58de0a6e6f4a0f7192ce662845cd20b34c8b742f523c1,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.144308,52.061584,On or near Parking Area,E01030024,Ipswich 006C,Investigation complete; no suspect identified
da185955a5fbadede431b0d230b63f752a2f05a45413f137466933c168e6a886,2017-02,Suffolk Constabulary,Suffolk Constabulary,0.715791,52.075995,On or near THE SPINNEY,E01029901,Babergh 003B,Investigation complete; no suspect identified
2b83e9b7cfb3b59f5bdf381b9ace9ea2fbfbd4df02b7aa562f08e575f2246df2,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.114632,52.083203,On or near GODDARD ROAD,E01030031,Ipswich 003E,Investigation complete; no suspect identified
7e89a2cdc341ff53973c164c3d4f158d837f5ea08da3b9b19d5396df0de11404,2017-02,Suffolk Constabulary,Suffolk Constabulary,0.759128,52.026857,On or near LIONEL HURST CLOSE,E01029890,Babergh 008E,Investigation complete; no suspect identified
5aab44857c484a707c0d0971889ba9ce201b0e2cbe577f31a19c1f6c0eda88be,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.176000,52.052936,On or near FOXHALL ROAD,E01029961,Ipswich 007D,Investigation complete; no suspect identified
f25c5e7b773bc27b35615e1a1f09c7958b84c59b57f1762fd5b35fbf7464a6d6,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.198937,52.031152,On or near WITNEY CLOSE,E01033127,Ipswich 014E,Investigation complete; no suspect identified
de66e6ffd3f6f7c28839853288cb014ba31c4f72ec3733517b62843ab007c708,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.340835,51.956065,On or near BEACH ROAD WEST,E01030162,Suffolk Coastal 015A,Investigation complete; no suspect identified
0ca97b01a536f230dbb5f130f702862f943123bdb71b4f8b223bc5ce55a6cc15,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.153216,52.060024,On or near Pedestrian Subway,E01030025,Ipswich 006D,Investigation complete; no suspect identified
d82cce9d0e428992eb1dbb62ac3d88c72fcc7dc2bbb8fbab33e94b998c458a8d,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.188475,52.035762,On or near SHENLEY ROAD,E01029978,Ipswich 016A,Investigation complete; no suspect identified
467903ae676335342f449aca9401ebb44647c20df0c0a1b94d9e91ea643f8c62,2017-02,Suffolk Constabulary,Suffolk Constabulary,0.517941,52.332882,On or near CHURCH LANE,E01029945,Forest Heath 003E,Investigation complete; no suspect identified
6c2b271d38c743f4e19a6ed7621eb7b4063ea7c84920ba0974839baeadfdb5d6,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.133151,52.065623,On or near HAMPTON ROAD,E01030022,Ipswich 006A,Investigation complete; no suspect identified
b89a329618b842b62167cd00fc236fd472b5a9a6cce9ca989d4d74f17ed5f5c6,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.177250,52.037253,On or near HOGARTH SQUARE,E01029979,Ipswich 016B,Investigation complete; no suspect identified
a16b24787daf7b426c6b18dc9aa71631ae8424b4a593211f67fd6731fec7517e,2017-02,Suffolk Constabulary,Suffolk Constabulary,0.964149,52.060015,On or near RED HILL,E01029911,Babergh 004F,Investigation complete; no suspect identified
c843134b66950634702c43e00d311e6a1fbc7abc3c820b944a44e74532064af2,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.059415,51.956938,On or near Sports/Recreation Area,E01029870,Babergh 010A,Investigation complete; no suspect identified
03f5778c096b4df5e58e128bf438f7475a2f59cb12f24e46194afba0e26a89fb,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.214919,52.064256,On or near THE MAPLES,E01030204,Suffolk Coastal 011C,Investigation complete; no suspect identified
