Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1e81b90ea6834ce8afbebee5ad68947ccdf6b7a45f26147239678322382a644f,2019-07,South Wales Police,South Wales Police,-3.220335,51.514152,On or near Parking Area,W01001896,Cardiff 020E,Investigation complete; no suspect identified
d20c9908800f44761785a28a1d79cddc0c45257254bb320961ed304930ed468e,2019-07,South Wales Police,South Wales Police,-3.421077,51.466589,On or near LLANQUIAN ROAD,W01001084,The Vale of Glamorgan 002C,Investigation complete; no suspect identified
d2416f95d527e34d3cc3e49849459c044201fd888c9a684f340894e99b834068,2019-07,South Wales Police,South Wales Police,-3.437048,51.579802,On or near HEOL DERI,W01001255,Rhondda Cynon Taf 023E,Investigation complete; no suspect identified
6f77f3abb50f10700aa5cefbaf7ddaa7ece731ede4b3f5d97d93611c7b7bfdcc,2019-07,South Wales Police,South Wales Police,-4.037743,51.668098,On or near LIME STREET,W01000773,Swansea 005A,Investigation complete; no suspect identified
c1fd7870c355dce65d76149c475bcd18eb60329b947ac6059a3d9886ce13c03b,2019-07,South Wales Police,South Wales Police,-3.874289,51.805327,On or near Petrol Station,W01000931,Neath Port Talbot 020E,Investigation complete; no suspect identified
13bfe17b3f1ccc61635ac4525cf3af0e8bbe8cb8ca3b8cd1a7fe7e16cbca4e48,2019-07,South Wales Police,South Wales Police,-3.974553,51.657605,On or near PITTSBURGH COURT,W01000836,Swansea 011E,Investigation complete; no suspect identified
2f099b87766c636d009dab836127076d5afd71f36d816f6fe9db2ce1dbf698e4,2019-07,South Wales Police,South Wales Police,-3.186022,51.433649,On or near EARL ROAD,W01001131,The Vale of Glamorgan 008C,Investigation complete; no suspect identified
1ac2a22a71902a1ed2e89b86d2baf25dbcc0e5dd6a4c8d6dfd87f7d1b9d64f57,2019-07,South Wales Police,South Wales Police,-3.480116,51.406006,On or near ILLTYD AVENUE,W01001109,The Vale of Glamorgan 011C,Investigation complete; no suspect identified
38ea1a26ec0f805b02c5211cf127ab3610354cb15007ad9be1a0c20e8f6af194,2019-07,South Wales Police,South Wales Police,-3.164147,51.485949,On or near OXFORD LANE,W01001835,Cardiff 033F,Investigation complete; no suspect identified
69987aad02c64eda47f35562fb183de5744a876697b6d5e178828a82c25eb58a,2019-07,South Wales Police,South Wales Police,-3.933211,51.656764,On or near GRAIG ROAD,W01000819,Swansea 009C,Investigation complete; no suspect identified
c522ae48de3d5c21d2531164942a09bc4cb0f30695d66c2c876e795327018ab8,2019-07,South Wales Police,South Wales Police,-3.591714,51.538699,On or near HEOL PERSONDY,W01001055,Bridgend 007C,Investigation complete; no suspect identified
