Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2a756658e16843fa1c272af157321894d537e0197f90eb8891a2f7bfa380be89,2017-03,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Formal action is not in the public interest
9fd95e6b742fcbc7e6c4b088ee788e2228eae7578c129a2439e70252f2c2d403,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.313354,52.667234,On or near MOUNTBATTEN DRIVE,E01026541,Broadland 009B,Investigation complete; no suspect identified
86d01dfbe29f538d5f908786ee67c9a27a22fa0fcb325c1b35c4f9e544c4a831,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.233819,52.487754,On or near Parking Area,E01026938,South Norfolk 011D,Investigation complete; no suspect identified
a053efcfd5c3975e6d4696a447cd384275dda961e3549a99fa2c7bf489888c89,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.301283,52.629186,On or near Nightclub,E01033438,Norwich 014A,Investigation complete; no suspect identified
f75a71ff4e9d0f1d94e6fb734f5a7324046bcf41405e12c77ed12da8dcaeec1c,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.507018,52.950962,On or near OLD HUNSTANTON ROAD,E01026681,King's Lynn and West Norfolk 001B,Investigation complete; no suspect identified
ca3fe5497af071d2190123927ffada7a327dade6e14ee7a7b53713d608aa9ea3,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.240102,52.620327,On or near SUFFOLK ROAD,E01026860,Norwich 010C,Investigation complete; no suspect identified
152adfd0ed474eddfb558cc8af1eb3ba5e795548b79f64f459fd88b892fa902a,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.634186,52.701326,On or near CEDAR CLOSE,E01026637,Great Yarmouth 002D,Investigation complete; no suspect identified
aa5f2475ea20da9258d4e7743e1e4c141b26056e9299c6c4bfbc79eeb33bf09f,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.251477,52.662510,On or near HAMOND ROAD,E01026529,Broadland 010D,Investigation complete; no suspect identified
caff1f003376b318fe1b1e06a3579871d8afc56e714733ec5df79810bd756edb,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.326698,52.650113,On or near Shopping Area,E01026559,Broadland 013C,Investigation complete; no suspect identified
9fe39962b2de5fe9fac4c3b37179068e3c8991952c2555271f012b481494cf82,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.717305,52.607737,On or near ISAAC'S ROAD,E01026635,Great Yarmouth 007D,Investigation complete; no suspect identified
71a603144c38a11f1ac74d0b944f95f50575a2200dea7f25ab24839a2e009349,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.209095,52.692821,On or near ST PAULS ROAD NORTH,E01026721,King's Lynn and West Norfolk 013E,Investigation complete; no suspect identified
f01a9188a1c49bb4e04fc8a8986175613a7f583ef802470588031c1b5454a3d4,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.524582,52.486922,On or near HALL DRIVE,E01026649,King's Lynn and West Norfolk 019B,Investigation complete; no suspect identified
7522bddad8982305df8d2eabc943bfe475c37ed257253bcc8adde265bef1107b,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.943991,52.387347,On or near Park/Open Space,E01026441,Breckland 014C,Investigation complete; no suspect identified
7f1b09274f4fdb36b018106ef6fb84b505ba661a9d07bb4644b24302fd896163,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.170933,52.649909,On or near Petrol Station,E01026660,King's Lynn and West Norfolk 016B,Investigation complete; no suspect identified
1796b0143ee692fc44721cc2fef5a551bbaf307c59344616288e667cdeab59f2,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.747903,52.413779,On or near Nightclub,E01026468,Breckland 016A,Investigation complete; no suspect identified
0349c52c90b8c21d05c608008384f4f01953dee25e18555c4604bbcd91295ea5,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.689997,52.651694,On or near NORTHWELL PLACE,E01026459,Breckland 007E,Investigation complete; no suspect identified
3f7e137333363890ba54914edbfeadcb33caf2ffc774d4962566510a2d63d24e,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.729364,52.582235,On or near SOUTH ICEHOUSE HILL,E01026632,Great Yarmouth 009E,Investigation complete; no suspect identified
e7f41b2ce18a4e23d617ac83b12a290cfb07445384d79f693b277ba3eaf2d760,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.759740,52.694341,On or near PALGRAVE ROAD,E01026443,Breckland 002B,Investigation complete; no suspect identified
5d33e4ea243cb91f8c639c5a3b0c99fa5215c2238c98ea450e9a299557252f69,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.726271,52.563192,On or near BRIDGE ROAD,E01026611,Great Yarmouth 010B,Investigation complete; no suspect identified
a212ddcc172e5cb986572777fc4484b5cf1353d22231aad50801050c80db41d5,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.237406,52.628234,On or near THE COURTYARD,E01026860,Norwich 010C,Investigation complete; no suspect identified
d83072d4c56913a4bf9051a28dd7b1b4f3a21e35495588e1e98a5dc347736029,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.282713,52.658311,On or near JUPITER ROAD,E01026530,Broadland 011A,Investigation complete; no suspect identified
80cbb777f52bf893422388d6caa1a13c7f168addb80000f82436a3cabc60ae77,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.325596,52.649236,On or near Shopping Area,E01026559,Broadland 013C,Investigation complete; no suspect identified
e8451a781e4d5fb6b5c853553849ffe755af9fdefdebec7b77890d364875a773,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.631892,52.705621,On or near CHURCH GREEN,E01026694,King's Lynn and West Norfolk 012D,Investigation complete; no suspect identified
781137e50ab37ff9bc1b2c76189d129c19434340189cd3adeb496e744df2a371,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.607208,52.469573,On or near PILGRIMS WAY,E01026492,Breckland 012C,Investigation complete; no suspect identified
4c0cddc4c16fcbe589b832c3d9cbaef09820c8d00d6a906a83affc6de38e18bc,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.290330,52.617961,On or near LADY MARY ROAD,E01026852,Norwich 011A,Investigation complete; no suspect identified
892eeb82aa5c76674c42757974e727bac5c451543d6383039ad88a7cb37d9a1a,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.714283,52.573805,On or near MAGDALEN WAY,E01026604,Great Yarmouth 009D,Investigation complete; no suspect identified
fcb00c8552ef82f78eb3138ec1bcef88637fe826837a812cf9fc4a52cf3b0aab,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.401027,52.702702,On or near PARK ROAD,E01026580,Broadland 008E,Investigation complete; no suspect identified
