Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
987e80b7419a3ddd4320212f4424cb9c02382eb87308ec62e69ad0d07c5b2d43,2017-02,Cleveland Police,Cleveland Police,-1.252124,54.563800,On or near AYRESOME GREEN LANE,E01012056,Middlesbrough 009D,Investigation complete; no suspect identified
16591dd47cf403b3179ee2058273eb8cf7da23870966b46c31c04b4de9fa093f,2017-02,Cleveland Police,Cleveland Police,-1.214742,54.687009,On or near TEES STREET,E01011974,Hartlepool 005B,Investigation complete; no suspect identified
e9413adecb32bf5912d240c7b01cbaf8ba6d3eb88b0d460b8a53814ad0b3f7ab,2017-02,Cleveland Police,Cleveland Police,-1.239948,54.569054,On or near ST AIDAN'S STREET,E01012039,Middlesbrough 003D,Investigation complete; no suspect identified
19e757659edd802145a60982045567f58973b71d8c07fc6a2c6c95e27cd84b6a,2017-02,Cleveland Police,Cleveland Police,-1.216831,54.684848,On or near York Road,E01011999,Hartlepool 007D,Investigation complete; no suspect identified
b5d4982daa6096a21dcfd98e8e3312d969787bd150accde84a82c91e54fc5953,2017-02,Cleveland Police,Cleveland Police,-1.242612,54.553011,On or near HAWNBY ROAD,E01012055,Middlesbrough 009C,Investigation complete; no suspect identified
5cce34293b6d9fd23ecd90bf75a8a0fa678e4d52e77d9f50d1b5426f64766abf,2017-02,Cleveland Police,Cleveland Police,-1.198121,54.659832,On or near STANMORE GROVE,E01011995,Hartlepool 011A,Investigation complete; no suspect identified
125517ec0dd13f5e0547b61bf2aea92c9ee613416faae4662e52b5be9afcf651,2017-02,Cleveland Police,Cleveland Police,-1.183963,54.561724,On or near CALVERLEY ROAD,E01012091,Middlesbrough 007F,Investigation complete; no suspect identified
6408052e4fcc804ab7cf315ec4012cd4fcf432760774f95b9ff2f7d9a58fa379,2017-02,Cleveland Police,Cleveland Police,-1.205195,54.683361,On or near WHITBY WALK,E01012000,Hartlepool 007E,Investigation complete; no suspect identified
df85ac6d280d305f6779e51694555e2acf65aa8046bf36476e2ca25f57263063,2017-02,Cleveland Police,Cleveland Police,-1.241676,54.560931,On or near STONEHOUSE STREET,E01012081,Middlesbrough 005D,Investigation complete; no suspect identified
ef1ff9f78eb3d419490a358f508a6852cc4011182b378ae699db4347192d40b8,2017-02,Cleveland Police,Cleveland Police,-1.162633,54.563457,On or near THE BEECHES,E01012168,Redcar and Cleveland 022C,Investigation complete; no suspect identified
d721c31e2d7a4758b97a54ae56190b1bbe301a8867b0c5cd0813b4f920eeec12,2017-02,Cleveland Police,Cleveland Police,-1.210875,54.701615,On or near AINDERBY WALK,E01011994,Hartlepool 002F,Unable to prosecute suspect
f890475ba6c5c0ee425dcfd82e5d30dc31cf43ed6cef50fa8941865defe7f727,2017-02,Cleveland Police,Cleveland Police,-1.212284,54.569470,On or near Shopping Area,E01012059,Middlesbrough 002B,Unable to prosecute suspect
8a77e5f38f7f77e9bd8a7806143f881678e75e1e4b009bd2f2deac21f0dcd6f4,2017-02,Cleveland Police,Cleveland Police,-1.194036,54.533968,On or near MONARCH GROVE,E01012064,Middlesbrough 020C,Unable to prosecute suspect
83641e12697331f58b2fa04b5ac66608eed8fb8db5e00a26b9322e4a39351cb4,2017-02,Cleveland Police,Cleveland Police,-1.226456,54.690149,On or near HART LANE,E01011957,Hartlepool 003C,Unable to prosecute suspect
5842f852572d8642cd7c3bf5c84536253ece9fa12ff01803d40bbdf9e8355ad2,2017-02,Cleveland Police,Cleveland Police,-1.317513,54.560017,On or near TRINITY STREET,E01012262,Stockton-on-Tees 014A,Unable to prosecute suspect
a4755e110e6b8bfaf588cc25fb55329bb4a8f22829eed25e80223eec8f28823b,2017-02,Cleveland Police,Cleveland Police,-1.155916,54.557704,On or near Supermarket,E01012173,Redcar and Cleveland 022E,Unable to prosecute suspect
ffbf77a8ac8de6ab636d2dfb92d2a75d8bf91e3a2a62481863ff070d92eb693a,2017-02,Cleveland Police,Cleveland Police,-1.175298,54.547376,On or near BAMBURGH DRIVE,E01012150,Redcar and Cleveland 021B,Unable to prosecute suspect
12b00fdef1c349e051abd54f562001d2ed993f57aa7593d9083e13b20bdc546f,2017-02,Cleveland Police,Cleveland Police,-1.192194,54.660062,On or near FARNDALE ROAD,E01011996,Hartlepool 011B,Unable to prosecute suspect
864eaf707c78fa4e1b0f066ee03c57fdc27a173c28435bac9a77f12232baca73,2017-02,Cleveland Police,Cleveland Police,-1.205157,54.551818,On or near DELLFIELD CLOSE,E01012085,Middlesbrough 010D,Unable to prosecute suspect
efb3164c4bed09e0279bf7709546f055f2573735bbe51c80d6c174f1109b4309,2017-02,Cleveland Police,Cleveland Police,-1.324934,54.572254,On or near CASTLEREAGH ROAD,E01012251,Stockton-on-Tees 012B,Unable to prosecute suspect
fc6dd26cca9fa751baf9b2e3a10ad4a38a24af588d79de3d4ac273e215aa7d06,2017-02,Cleveland Police,Cleveland Police,-1.300674,54.551796,On or near STRANTON STREET,E01012288,Stockton-on-Tees 017C,Unable to prosecute suspect
e83c574afea5ffd2606747a64f1507cbc5fa8042d7568c0b06738c4650d5ab2a,2017-02,Cleveland Police,Cleveland Police,-1.147329,54.557194,On or near SANDMOOR CLOSE,E01012111,Redcar and Cleveland 011D,Unable to prosecute suspect
cf0c2b0cbf6e7c6eea6a1724a07669c32a5a2ef64b108aa803d20c5fea02148a,2017-02,Cleveland Police,Cleveland Police,-1.241640,54.572911,On or near UNION STREET,E01012041,Middlesbrough 003F,Unable to prosecute suspect
b8545d7f08477c6ba25a5336ddbc62da4073ea004feefaa80350916662d398ec,2017-02,Cleveland Police,Cleveland Police,-1.084691,54.593683,On or near Redcar and Cleveland Police HQ,E01032560,Redcar and Cleveland 003E,Unable to prosecute suspect
c91c175f7038758a6995dd694a04f0332e474d9a123211b91060dd74d89451c9,2017-02,Cleveland Police,Cleveland Police,-1.066705,54.618116,On or near Shopping Area,E01012100,Redcar and Cleveland 001A,Unable to prosecute suspect
9998f6499eb7e6775da861ec0eb917d69cbbb843bac9c3ed712d6ebcb42ab090,2017-02,Cleveland Police,Cleveland Police,-1.291492,54.539170,On or near Sports/Recreation Area,E01012284,Stockton-on-Tees 020C,Unable to prosecute suspect
fb09f0064c2cb42c83c6ae4a33ced90c660a14ab2463bf9deb46b15b0e69c3c4,2017-02,Cleveland Police,Cleveland Police,-1.220212,54.675173,On or near ROSSALL STREET,E01011950,Hartlepool 008A,Unable to prosecute suspect
8d9629aa00bb0d9929de55e733160192b44bbdd497d00dd544d72c09314aa28b,2017-02,Cleveland Police,Cleveland Police,-0.909871,54.562640,On or near MURIEL STREET,E01012096,Redcar and Cleveland 013A,Unable to prosecute suspect
c034f38a531f4498c10c14bfa20376d81cc2f146871dc1103813908966fa10a1,2017-02,Cleveland Police,Cleveland Police,-1.300683,54.543106,On or near LABURNUM AVENUE,E01012291,Stockton-on-Tees 019B,Unable to prosecute suspect
999ffbff299c20143db464067fc132941ee401b9c15ce7def9c4f4665ff5d46e,2017-02,Cleveland Police,Cleveland Police,-0.908756,54.563286,On or near QUEEN STREET,E01012096,Redcar and Cleveland 013A,Unable to prosecute suspect
d195a1e8a73c94033ef2dd3abc95a736a2a96300e6d5cf41a7b61e6bd3af9fbc,2017-02,Cleveland Police,Cleveland Police,-1.230171,54.570781,On or near THISTLE STREET,E01012068,Middlesbrough 001A,Unable to prosecute suspect
956fcbc63d76f973b7376f015dfb7a543189599930023166bc3e973e0f20692c,2017-02,Cleveland Police,Cleveland Police,-1.066677,54.597688,On or near GREYSTOKE ROAD,E01012127,Redcar and Cleveland 005A,Unable to prosecute suspect
