Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f0d2ec208e01be4f656c0b92693063b49fea0f96eccbb93fdce2825617957f9a,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.141712,52.085290,On or near MITFORD CLOSE,E01030034,Ipswich 001C,Investigation complete; no suspect identified
6dffe58186038066c24f8deb8340ee7a61de47fc0f104b3ea98325417df850db,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.751822,52.474702,On or near BON MARCHE,E01030250,Waveney 004D,Investigation complete; no suspect identified
65169e0a9bbccd1eff21b099092e24873b7b73461ba1446182c395f3143ef9a7,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.145143,52.083624,On or near WETHERBY CLOSE,E01030033,Ipswich 001B,Investigation complete; no suspect identified
ebb5d3cf7a21b8b4cfd4138ca6ad0d7c594c496c12604464d3dd56a6805d5f35,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.430135,52.077620,On or near CLARENDON ROAD,E01030114,St Edmundsbury 014F,Investigation complete; no suspect identified
71d0d3c3272f6f7d7ebde7c41da6bf1b722e0c69068304c082072c86e22b773f,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.756113,52.380603,On or near ELLINGTON ROAD,E01030094,St Edmundsbury 002A,Investigation complete; no suspect identified
fc2213fd11338c596e58034bde36db8ea63d95a444a106715d66f75e30ec780b,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.711218,52.246903,On or near ST ANDREW'S STREET NORTH,E01033046,St Edmundsbury 006F,Investigation complete; no suspect identified
c87573a66ce38270d3c466443c47d9de6586ef0406db8de9dd69dcde55d08377,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.643849,52.238459,On or near Park/Open Space,E01030098,St Edmundsbury 008A,Investigation complete; no suspect identified
4d677f2c709233e6ac16662e7d516f5b163363373f42bd40f66923a2d13eab78,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.745459,52.379169,On or near BLACKSMITH LANE,E01030094,St Edmundsbury 002A,Investigation complete; no suspect identified
dacfc935b6fddcbd667d228a112fecd820b6a39ab23e6eaf60b44d0d9828204e,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.337722,51.974493,On or near ASCOT DRIVE,E01030160,Suffolk Coastal 014A,Investigation complete; no suspect identified
45141a774c56098d50b211475bfe7fe5a5a1d349ccbd6161b00035222a671a03,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.751822,52.474702,On or near BON MARCHE,E01030250,Waveney 004D,Investigation complete; no suspect identified
032cec87293e8a70afc54e5e30278a118f42f6444eb586dcebecdfd3ce75ee79,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.348017,52.125791,On or near YARMOUTH ROAD,E01030193,Suffolk Coastal 005A,Investigation complete; no suspect identified
5a20feed8a575124fad3c4e13f89e1bce218cb3ab249be833cba47015e03c983,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.143667,52.053705,On or near RUSSELL ROAD,E01029985,Ipswich 010B,Investigation complete; no suspect identified
0dda212be6e9ee68d4df24fd1d67e9d8902de3cd2928dbb13d942789745b1b48,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.143667,52.053705,On or near RUSSELL ROAD,E01029985,Ipswich 010B,Investigation complete; no suspect identified
439dfc69264e332e80a3495cec6ea1909aa1e2dd2da1cfe851c948ce8e6c4d3b,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.449591,52.272672,On or near MILL HILL,E01030201,Suffolk Coastal 001A,Investigation complete; no suspect identified
c52be68fe7401feec9e09627cdf41335effacf2c2d6642f461d1d3ea06e314d8,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.170199,52.056303,On or near GRANGE ROAD,E01029960,Ipswich 007C,Investigation complete; no suspect identified
5420039e8f26a02ca2e4dbb731e6907079aa98c569efe0addea98299b227ea27,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.439647,52.081569,On or near Supermarket,E01030113,St Edmundsbury 014E,Investigation complete; no suspect identified
3114714ee9911ca88b85937012ea3119eb88e937276a5091812348ac8a58f41c,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.626547,52.441970,On or near BURY ROAD,E01029927,Forest Heath 001B,Investigation complete; no suspect identified
26d989970b6b6c999fd56e12e17721403c1df8032229c02a03175eda1b3bde65,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.667106,52.341288,On or near ADAMSON ROAD,E01030283,Waveney 014B,Investigation complete; no suspect identified
756d64da8b99ca44c564dbee4b7c1ff66377416b6a3048e61a5bd0abab7061ce,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.625900,52.444942,On or near WARREN CLOSE,E01029927,Forest Heath 001B,Investigation complete; no suspect identified
7c61a70c148cdb3c76f6c097bfeec1fc1e0f10c9354b51eddf597cdf89ec5cb3,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.728582,52.041166,On or near PRINCE STREET,E01029920,Babergh 007H,Investigation complete; no suspect identified
7eee413e539f397a861f6563cd72d5c5bfc752c958a3246107b067d184c21fc3,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.755109,52.033327,On or near RAYDON WAY,E01029889,Babergh 008D,Investigation complete; no suspect identified
a64f0ea8344967293b319a2b683e6e870667a351817a2d20a7f78b512dc74b02,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.737258,52.044238,On or near HARES WALK,E01029912,Babergh 007A,Investigation complete; no suspect identified
