Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4487e595da1a4ecbfdd8f51cc2a2afbfb04c1f5d9b3e1fe0acdc94bc4510e786,2016-12,Cleveland Police,Cleveland Police,-1.141989,54.571437,On or near STAFFORD ROAD,E01033471,Redcar and Cleveland 009F,Investigation complete; no suspect identified
097b5098e22aa6601eba59d293dea6c32ce9baa8acacf1db6b49420f7577c66d,2016-12,Cleveland Police,Cleveland Police,-1.226603,54.687292,On or near MULGRAVE ROAD,E01011975,Hartlepool 005C,Investigation complete; no suspect identified
269c255f0b5f8b51b905e174c366e71219ba5e52e562745a6f81e94228c53ee4,2016-12,Cleveland Police,Cleveland Police,-1.180911,54.565074,On or near GRANTLEY AVENUE,E01012089,Middlesbrough 007D,Investigation complete; no suspect identified
17bc329eefa924efa824dd53c87d75de32689807c98100c0e08b92e5e0db5dc4,2016-12,Cleveland Police,Cleveland Police,-1.301180,54.549337,On or near FIR GROVE,E01012238,Stockton-on-Tees 018A,Investigation complete; no suspect identified
4e7181c437ecaa505ae84ea6ad8ccf5a6ea27a3fc68cea907ffa7208776b0f06,2016-12,Cleveland Police,Cleveland Police,-1.156470,54.555577,On or near GROSVENOR GARDENS,E01012145,Redcar and Cleveland 015B,Investigation complete; no suspect identified
3b10e473023294d3578f814a969cd3ed093029682a62ed9c146157de21f759be,2016-12,Cleveland Police,Cleveland Police,-1.315751,54.512798,On or near REDESDALE GROVE,E01012232,Stockton-on-Tees 023D,Investigation complete; no suspect identified
3ff8764426242a917eb365cca118323f2c064edc0cca9f73646fa6c4e11ca77e,2016-12,Cleveland Police,Cleveland Police,-1.249955,54.520999,On or near HORCUM COURT,E01032552,Middlesbrough 018G,Investigation complete; no suspect identified
b63607135264642d562368ce513a99f0bf21bd34079df21d90282338dc3ead76,2016-12,Cleveland Police,Cleveland Police,-1.363555,54.570540,On or near Petrol Station,E01012189,Stockton-on-Tees 011C,Investigation complete; no suspect identified
fbb5b90bc32de958272e10994f8b1f2e83dfbca236932f52ef559dc7b641709e,2016-12,Cleveland Police,Cleveland Police,-1.228889,54.575607,On or near ELLIOT STREET,E01033468,Middlesbrough 001G,Investigation complete; no suspect identified
7937deb2540ab8dcc268024e2d79ee3342157c4fe743d66a98289879e6198891,2016-12,Cleveland Police,Cleveland Police,-1.138233,54.567663,On or near WILTON WAY,E01012113,Redcar and Cleveland 009A,Investigation complete; no suspect identified
92fdfde4df9213b6d75b3785ecee64d560b8cc9855dc858d8fcbde0546299d34,2016-12,Cleveland Police,Cleveland Police,-1.320834,54.557429,On or near WAVERLEY STREET,E01012262,Stockton-on-Tees 014A,Investigation complete; no suspect identified
