Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2019-10-03T11:00:00+00:00,,,51.586979,-2.997530,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,,,A no further action disposal,,
Person search,2019-10-03T16:00:00+00:00,,,51.586683,-2.992140,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Vehicle search,2019-10-04T11:00:00+00:00,,,51.590450,-2.995311,,,,,Misuse of Drugs Act 1971 (section 23),,,,
Person search,2019-10-04T11:00:00+00:00,,,51.590450,-2.995311,Male,25-34,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Person search,2019-10-04T12:00:00+00:00,,,,,Male,,Other ethnic group - Not stated,,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2019-10-04T12:00:00+00:00,,,,,Male,,Other ethnic group - Not stated,,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2019-10-04T12:00:00+00:00,,,51.588021,-2.982657,Male,10-17,Mixed/Multiple ethnic groups - White and Asian,,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,
Person search,2019-10-04T18:00:00+00:00,,,51.650654,-3.019814,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,Penalty Notice for Disorder,,
Person search,2019-10-04T18:00:00+00:00,,,51.650654,-3.019814,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Vehicle search,2019-10-04T18:00:00+00:00,,,51.650654,-3.019814,,,,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
Vehicle search,2019-10-04T19:00:00+00:00,,,51.545452,-3.078144,,,,,Misuse of Drugs Act 1971 (section 23),,A no further action disposal,,
