Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0ebb77c2104906ae533997e14812ad95c1d2515ed021032133aed7fb396e9b5f,2016-12,Suffolk Constabulary,Suffolk Constabulary,0.428695,52.077983,On or near GLOUCESTER ROAD,E01030113,St Edmundsbury 014E,Investigation complete; no suspect identified
90901d11b0768e13dd632e7899bc3c1d695f92321ccd7ffe0d6d6fae6a07f94c,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.198937,52.031152,On or near WITNEY CLOSE,E01033127,Ipswich 014E,Investigation complete; no suspect identified
ee7824020164ed099d1f126af42199d44efa85b6d749d9da5f190c7106aa6cda,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.752529,52.484385,On or near CLARENCE ROAD,E01030248,Waveney 004B,Investigation complete; no suspect identified
a44be5de2aaf79c5d6ae8631833bf6d1cf26cab0b6ea4e6222ffffcf5c8fb87b,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.233041,52.084617,On or near SPRING MEADOW,E01030221,Suffolk Coastal 006C,Investigation complete; no suspect identified
ee334fbcac1710992458612e3727e0f1a69f5da4b3e754ee094ef1c5131999ec,2016-12,Suffolk Constabulary,Suffolk Constabulary,0.955996,52.045480,On or near INKERMAN CLOSE,E01029892,Babergh 004A,Investigation complete; no suspect identified
79dffeafc316a924d4620b370fa5edf2c05ab39d42c4d089a4ab9ff965a8c7cb,2016-12,Suffolk Constabulary,Suffolk Constabulary,0.710780,52.244773,On or near Nightclub,E01030091,St Edmundsbury 006A,Investigation complete; no suspect identified
6c785bafb188849639f31eb407656a4bfbcebc55feb1b53954ccf62ebf5a3ae4,2016-12,Suffolk Constabulary,Suffolk Constabulary,0.812399,52.260111,On or near Sports/Recreation Area,E01030084,Mid Suffolk 004D,Investigation complete; no suspect identified
13176b09fd00422e69e0d47e15652b9aaf79ef5c6db2512bbc7b4541d2367ac1,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.487986,52.213627,On or near PARK END,E01030210,Suffolk Coastal 003D,Investigation complete; no suspect identified
72ffc29f5c35c153a78b19d9067491df76641b0e54b5d2731a7194287290fa1f,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.319861,51.977768,On or near STATION ROAD,E01030216,Suffolk Coastal 012D,Investigation complete; no suspect identified
392dab147b912fa9287b52473fd74614b5d9a46439df904702eb7a42f1eee4b8,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.352141,51.963784,On or near Supermarket,E01030165,Suffolk Coastal 015C,Investigation complete; no suspect identified
06f2f41210941a4382ffc9a7015250593b91706e3a775368ccd069aa2e094bb9,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.270349,52.060562,On or near BADER COURT,E01030191,Suffolk Coastal 010D,Investigation complete; no suspect identified
498eea45acee22328956433b94c5bfa80b32b1d896950ae713e12a75942423e8,2016-12,Suffolk Constabulary,Suffolk Constabulary,0.866684,52.254667,On or near Petrol Station,E01030049,Mid Suffolk 004B,Investigation complete; no suspect identified
