Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
64322aa33b1329f78a9a3f7018dd7679de509fbb76de740cf6cbaf47967bdde1,2017-03,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Formal action is not in the public interest
bbb76d0fd168d5d05c38364ad9d6d9a94b50d22e7ce4664e3fdf93240f786012,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.049013,52.157669,On or near LUFF MEADOW,E01030060,Mid Suffolk 010A,Investigation complete; no suspect identified
aa2e2a461c3bdbf1430df2680c2e3e6d638d2b81d7b868fd0c883efef8a15a01,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.144937,52.321640,On or near TACON CLOSE,E01030052,Mid Suffolk 001A,Investigation complete; no suspect identified
1e007c72d41b40bf7e3059c4b3970a02919c2ebd57f030f4f93dd0aea647fa00,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.754126,52.477876,On or near LONDON ROAD NORTH,E01030247,Waveney 007A,Investigation complete; no suspect identified
df5c4202ab660cf081fe26b662284fd914488127972f5bc4d6c98b1469fa07d2,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.669530,52.103941,On or near BROADWAY,E01029885,Babergh 002C,Investigation complete; no suspect identified
8e910c872a3a71d4c778fc5a17ded2aa2950e3b8e0cba9a0d0b8ce5183c56b53,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.191949,52.070367,On or near MOFFAT AVENUE,E01029998,Ipswich 004B,Investigation complete; no suspect identified
b7eaa319c14d6ad3d465df7e1a393be19eac0add489b920fca3f5758a09932e4,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.750285,52.485023,On or near OXFORD ROAD,E01030248,Waveney 004B,Investigation complete; no suspect identified
500553f4297241f93f4b50bb7560ff7288c2ec7734d564e0828a51f5668a6a59,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.967202,52.163193,On or near COMBS GREEN,E01030069,Mid Suffolk 009B,Investigation complete; no suspect identified
d2426bcdb1cf552c48b2dd9df88c0fc47da52ce2deac19b5ac1518ef9b5977c8,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.169946,52.057677,On or near NOTTIDGE ROAD,E01029960,Ipswich 007C,Investigation complete; no suspect identified
91566c555555134f61e5522c2edf1db5a37390574f4562c699b35fbb7ef1a15c,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.707739,52.247523,On or near RISBYGATE STREET,E01033043,St Edmundsbury 006E,Investigation complete; no suspect identified
c39bc3b2365a8c25f9060add9f9344ddc7eb82746f16120ff63f91421e398694,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.718746,52.249500,On or near BOUGHTON WAY,E01033048,St Edmundsbury 009F,Investigation complete; no suspect identified
218b4fcc69feece04437f1593e7d158c0cd8f161dbe730e177e09e3fb91c4990,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.699310,52.266978,On or near NORTHERN WAY,E01030103,St Edmundsbury 004A,Investigation complete; no suspect identified
120c200b6e7906bd171de14e8749f50841eaea822ff615773af59ff2b3821ff7,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.712620,52.244668,On or near ABBEYGATE STREET,E01030091,St Edmundsbury 006A,Investigation complete; no suspect identified
418c4383f0c80c6525088f48443c49e6434eb4e7d9180b18d4e807373ee65e1a,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.986262,52.192722,On or near KINGSMEAD CLOSE,E01030077,Mid Suffolk 008B,Investigation complete; no suspect identified
92373aab77465803b6adf74a9250871f56fc2ac42d702c6ddb884d5648a1d77d,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.982723,52.193199,On or near BROOK CLOSE,E01030072,Mid Suffolk 009C,Investigation complete; no suspect identified
511e338934720b96c314c4b5e209030b50588871060d4785c31a97046cda411f,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.420531,52.087845,On or near WILLOW CLOSE,E01030118,St Edmundsbury 013D,Investigation complete; no suspect identified
e96a5ae3f7165cf0b6728f60057388eca9d25df87359b4a8a5e7b13275407b59,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.623101,52.447127,On or near STORES STREET,E01029927,Forest Heath 001B,Investigation complete; no suspect identified
2a89b839e83612b3a84f4756d240cdf565f0c67f37deb49ef8fb82b5132318fa,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.748217,52.481328,On or near BERESFORD ROAD,E01030249,Waveney 004C,Investigation complete; no suspect identified
680305672f81ba9bda88bac8b8520f023c9f195549c977f0eb402c165376ef01,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.518395,52.321422,On or near HALESWORTH ROAD,E01030219,Suffolk Coastal 001B,Investigation complete; no suspect identified
59b81f12d8b4a564b07068ceb014bf023f353ec998a0106de228a7b8e37e602b,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.080457,52.249747,On or near OLD ORCHARD,E01030059,Mid Suffolk 005C,Investigation complete; no suspect identified
4fa4183bf00ef014e2f5fc381ab73f30076fd5a9aba17a993b81a0696152edc3,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.719177,52.076241,On or near THE LIMES,E01029901,Babergh 003B,Investigation complete; no suspect identified
7115d856d09d2b2860ca836bd054de29016304c40a0642d89f8191cebd5ad06d,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.718709,52.454988,On or near UBBESTON WAY,E01030273,Waveney 012F,Investigation complete; no suspect identified
ec5a684952080d7cf43914e2a7713881fe26fe610400fd7690304e7bcc577ee5,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.173223,52.053488,On or near Supermarket,E01033123,Ipswich 011E,Investigation complete; no suspect identified
11fc6125a080e0937e56d7ab15767409de043046ddd171ce58c9a902aeab4522,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.134124,52.047843,On or near MAPLE CLOSE,E01029986,Ipswich 010C,Investigation complete; no suspect identified
ba609fc760eb4155c0d4e033aa90ecfa225faae50b5fac8159e79135e030222c,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.384831,52.262116,On or near GOLDEN MILLER CLOSE,E01029956,Forest Heath 006E,Investigation complete; no suspect identified
c52fdac8d82af1f413794da199c7b4c406fb92f7e874c3f1d9efa93978b4693c,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.093987,52.061856,On or near RANSOME CLOSE,E01029878,Babergh 005B,Investigation complete; no suspect identified
85055e4b864e3a581a02495f8fcd5b10b06166c73c83184b56c2a93aceeba0ae,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.199163,52.029203,On or near TITCHWELL DRIVE,E01033127,Ipswich 014E,Investigation complete; no suspect identified
5502ea84f5507bbd61e8335b2dbd93762e9ec6cf1c2027c57c9189bf8b809182,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.162055,52.057296,On or near ORCHARD STREET,E01033129,Ipswich 007H,Investigation complete; no suspect identified
ab9d127aca110319c86154697c6caf7da61e3f01a62b057b960a6b525ec4c4ee,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.208350,52.045907,On or near WAREHAM AVENUE,E01030206,Suffolk Coastal 011E,Investigation complete; no suspect identified
ae6820b257df9e15803468c537c7f006049a549f3aca62c45747801f13f4596a,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.169736,52.061721,On or near RUSSET ROAD,E01029960,Ipswich 007C,Investigation complete; no suspect identified
8b4233e4d8d170647f6351548f6bef913d7ae091206061786b992517a9caed53,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.394471,52.242480,On or near THE ROWS,E01029949,Forest Heath 008B,Investigation complete; no suspect identified
c2772974f2bf9b08ca24812823ccc78618b782d9beaf1fe50a3772363cce7994,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.733813,52.036782,On or near Parking Area,E01029918,Babergh 007F,Investigation complete; no suspect identified
9910fa50317683e3810cdceb783439dc1ff34c46b73c96ddc54bb92e38432a51,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.198796,52.026722,On or near ALNESBOURN CRESCENT,E01033127,Ipswich 014E,Investigation complete; no suspect identified
7a484bfa37244d14d025ead7f4046db1004a1e413ef6101e5139f049f96716ec,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.337263,51.971268,On or near KING STREET,E01030161,Suffolk Coastal 014B,Investigation complete; no suspect identified
d52f8a136c71c012d334971a66ec97ee2c26875277e4ae2b281f5bdb128307bc,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.624808,52.440695,On or near WALTONS WAY,E01029930,Forest Heath 001E,Investigation complete; no suspect identified
ff87911542982d527b4f7c38c734ee6afeaad2a8775c3214430819260b1b2bb5,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.498069,52.369130,On or near PARKSIDE,E01032525,Forest Heath 003H,Investigation complete; no suspect identified
74643f1f4614ef5324efea496130822b34a090389fbbf251431f7691e625305b,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.579038,52.206382,On or near Supermarket,E01030188,Suffolk Coastal 004D,Investigation complete; no suspect identified
5402c63c80cdfe347633d7566feb0e662661638151b6f7a4ea0d75a9f797afd6,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.191405,52.043112,On or near STURDEE AVENUE,E01029996,Ipswich 014D,Investigation complete; no suspect identified
86bb91b5373596375ad244230238844321baf5af3f9f28d645c0a30ff5c9178d,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.994920,52.189814,On or near BURY STREET,E01033317,Mid Suffolk 010G,Investigation complete; no suspect identified
1a7eb4f60211aad0b459e4ece302c9bdd864dff253c8d8175d24fc7c5a97dc7b,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.157027,52.067720,On or near PARK ROAD,E01030008,Ipswich 005B,Investigation complete; no suspect identified
700fc4082c97bec05efd78791ec7a6985c283d2d75e4406321bc9c65a924f41a,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.335191,51.965723,On or near CHESTNUT CLOSE,E01030168,Suffolk Coastal 014C,Investigation complete; no suspect identified
27b0b574a93f650b68d8d1480bd26c380e647de530c2ad51522687b260dbc9b2,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.138035,52.079901,On or near Supermarket,E01029975,Ipswich 002C,Investigation complete; no suspect identified
9cb8784bac4664f8ce509dcef39bfc2b8d486a32e56f7934a05e3ee73272a2a6,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.400834,52.236883,On or near WOODDITTON ROAD,E01029925,Forest Heath 008A,Investigation complete; no suspect identified
2dbbf30cc3aff0ed82da0eb0b762774b7c56b1eff7dd5ba01ab2fb75c56254d8,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.132456,52.033183,On or near WINCHESTER WAY,E01030021,Ipswich 015E,Investigation complete; no suspect identified
45966e66e9eef72f6eea2333d68c7e84d3c33f726a1f3e9f83d90b75492d827b,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.118908,52.036510,On or near Sports/Recreation Area,E01030017,Ipswich 015A,Investigation complete; no suspect identified
a2308b6989bde15efee4aa1292945c7a64752fc55a709c578af7ee8715eb1cd0,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.203763,52.052337,On or near ST ANDREWS CLOSE,E01029965,Ipswich 009C,Investigation complete; no suspect identified
