Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
906e70fe686d3b31e8172fbbbddcff84d66fdf0300f5a8c5125a7bb0868442b5,2017-04,Suffolk Constabulary,Suffolk Constabulary,0.709230,52.239773,On or near EYRE CLOSE,E01030091,St Edmundsbury 006A,Investigation complete; no suspect identified
f98cace79ddfcfb20499a60a6b01d964f8984ae2079cca9da6392a9938184168,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.273093,52.062563,On or near FARRIERS CLOSE,E01030191,Suffolk Coastal 010D,Investigation complete; no suspect identified
d3fc521afea982a498d313eac4b495d36492a64ddd63db6c1a157b306eb157ba,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.203669,52.049191,On or near BROKE HALL GARDENS,E01029965,Ipswich 009C,Investigation complete; no suspect identified
a0b86d09c42431edf9c7bfeea77b601cbce861fd06a1dd8d1800a324c54c6efe,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.273093,52.062563,On or near FARRIERS CLOSE,E01030191,Suffolk Coastal 010D,Investigation complete; no suspect identified
9e42f3a186dd77fdce1103674ba064910ca984e2736f5fe1a4aadb89ac46cc20,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.193338,52.055687,On or near NEWBURY ROAD,E01030004,Ipswich 008C,Investigation complete; no suspect identified
14d9c6987fdb1c908c899eee4e7fde5186314bd881ae7af58bedd5dfae45ca00,2017-04,Suffolk Constabulary,Suffolk Constabulary,0.830292,52.095882,On or near A1141,E01029907,Babergh 001C,Investigation complete; no suspect identified
4fe344450b3e8e9679dd1aafd6dfe8ebf889a26609f589db20c012cfd170d443,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.571080,52.452842,On or near INGATE,E01030223,Waveney 010A,Investigation complete; no suspect identified
89aaf9cf42049ea5baaf1c49df6c007f7cf5e244a354ebd66cc00c8db71601e7,2017-04,Suffolk Constabulary,Suffolk Constabulary,0.702585,52.244916,On or near ALBERT CRESCENT,E01030092,St Edmundsbury 007A,Investigation complete; no suspect identified
b1ab3da1e74f453256401ae56c1e5197f2592de1e9a5dbfd6bfc8d1b1d2ea729,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.208668,52.036706,On or near Supermarket,E01030196,Suffolk Coastal 011A,Investigation complete; no suspect identified
69d525d38b20cbf3685f1055142f613b33f21af5df809de32ba398ed7440624d,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.336279,51.968606,On or near HAMILTON STREET,E01030161,Suffolk Coastal 014B,Investigation complete; no suspect identified
150f3360491814dda193f711bdf0f7d09d2b62209b16e2a530caa0a61b4e3bf3,2017-04,Suffolk Constabulary,Suffolk Constabulary,0.426983,52.079241,On or near LEATHER LANE,E01030114,St Edmundsbury 014F,Investigation complete; no suspect identified
d8778e5cbfd909ef2c5ea8608324eab337853cf9b431344fb694f69f73c0ca61,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.173632,52.054313,On or near ROSEBERY ROAD,E01029962,Ipswich 007E,Investigation complete; no suspect identified
986e1e40b45d942242f6427a23dbe020f47f0bce2c56ab63f6454a73de549b1c,2017-04,Suffolk Constabulary,Suffolk Constabulary,0.374811,52.264665,On or near CHURCH STREET,E01029937,Forest Heath 006A,Investigation complete; no suspect identified
bafba5582a75392644c93fb48ac012c86c6d493c920b325c1161a826ce7ccac9,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.139169,52.040739,On or near SAWSTON CLOSE,E01029971,Ipswich 012D,Investigation complete; no suspect identified
1a2dd2927dc57a3491d2afa1996da4662d6c01d843bd89303f304434fb4b47f2,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.733322,52.485317,On or near JUNE AVENUE,E01030263,Waveney 005B,Investigation complete; no suspect identified
a930a06c9c53a1702b0d244e74ca3f4a6d044f26954355d66645fba47faeb666,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.440545,52.448576,On or near TOWER MILL ROAD,E01030232,Waveney 013C,Investigation complete; no suspect identified
cb4d8c1497e6c5219cfa36e7629c8ea8bb92953695d8b7c1a633ed659978271a,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.173632,52.054313,On or near ROSEBERY ROAD,E01029962,Ipswich 007E,Investigation complete; no suspect identified
